first_name,last_name,id,petType,birthday
Wilone,Halbard,1,Blue and yellow macaw,8/5/1990
Fanchette,Pydcock,2,Ferruginous hawk,11/24/1991
Benjy,Endecott,3,"Sloth, hoffman's",10/26/1965
Wang,Fruen,4,Hanuman langur,4/25/1987
Jephthah,Beggs,5,"Duiker, gray",9/25/1994
Sanford,Weinberg,6,"Dragon, asian water",8/19/1970
Randolph,Garthside,7,"Iguana, land",9/24/1975
Gilli,Janout,8,"Gull, lava",9/23/1964
Dionisio,Prisk,9,"Buffalo, american",7/5/1982
Colette,Searby,10,"Wallaby, whip-tailed",9/25/1990
Davie,Astlet,11,Frilled lizard,8/31/1982
Howard,Hannigan,12,"Waterbuck, common",6/30/1995
Clair,Blaymires,13,Red hartebeest,3/8/1973
Winnifred,Dalby,14,Rose-ringed parakeet,4/23/1996
Dorree,Benger,15,"Hawk, ferruginous",2/4/1966
Quintina,Boxhall,16,Western spotted skunk,6/13/1971
Herbie,Demaine,17,"Gull, herring",9/11/1975
Blake,Robardley,18,Rufous-collared sparrow,5/16/1996
Wilmette,Cridlin,19,"Tern, white-winged black",3/3/1978
Jammie,Davitt,20,"Lorikeet, scaly-breasted",1/1/1965
Nissy,Knewstubb,21,"Lemming, arctic",4/27/1967
Christophorus,Penas,22,Yellow-billed hornbill,7/15/1968
Annalise,De Vaux,23,Kalahari scrub robin,1/29/1973
Barny,Hoyes,24,"Screamer, crested",7/30/1982
Brittaney,Folbigg,25,Malabar squirrel,6/19/1985
Kaylil,Shergold,26,Dromedary camel,8/19/1970
Kimberly,Ruprich,27,Red-tailed phascogale,11/6/1991
Dulsea,Koubu,28,Short-beaked echidna,1/21/1970
Merrick,Pautard,29,"Goose, spur-winged",2/16/1999
Hamil,Stoffersen,30,Black-tailed prairie dog,9/26/1984
Udall,Ashment,31,"Fox, cape",12/2/1979
Xena,Maypes,32,Mountain lion,4/25/1987
Hammad,Gratten,33,"Flamingo, greater",12/29/1991
Sigrid,Kamall,34,"Weaver, red-billed buffalo",4/9/1966
Skye,Joyner,35,Butterfly (unidentified),10/22/1967
Walden,Meneely,36,Lilac-breasted roller,3/9/1970
Jule,Cussins,37,"Butterfly, canadian tiger swallowtail",9/16/1992
Isidora,O'Leagham,38,Blue racer,11/9/1990
Derek,Ellaway,39,Gambel's quail,2/3/1974
Boone,Cleiment,40,Musk ox,4/28/1979
Barri,Tripe,41,Caracal,5/13/1993
Lauren,Glowach,42,"Boa, columbian rainbow",9/4/1967
Issi,Vogelein,43,Northern phalarope,8/6/1991
Alysa,Champerlen,44,"Squirrel, eastern fox",1/5/1983
Petey,Roxbrough,45,Malagasy ground boa,7/17/1988
Hayes,Lonsdale,46,Long-tailed spotted cat,9/1/1970
Karen,Feldharker,47,"Wambenger, red-tailed",10/30/1995
Kandace,Overlow,48,"Goose, egyptian",7/15/1998
Cullan,Camplin,49,"Mongoose, small indian",1/14/1992
Aryn,St. Quintin,50,Brown antechinus,9/1/1971
Christiana,Braznell,51,Magistrate black colobus,6/12/1992
Luci,Hillam,52,Tokay gecko,2/19/1995
Gabby,Dowden,53,"Thrasher, curve-billed",7/6/1999
Golda,Jerzyk,54,"Flamingo, greater",9/19/1967
Eva,MacKee,55,European stork,5/25/1975
Kris,Hardway,56,American beaver,12/11/1983
Una,Cator,57,"Turkey, common",7/16/1985
Carlita,Cromblehome,58,Asiatic wild ass,9/22/1989
Krystyna,Boik,59,House crow,8/27/1999
Sven,Habergham,60,North American red fox,9/9/1992
Davie,Seden,61,"Beaver, european",11/2/1971
Judye,London,62,"Shark, blue",7/18/1970
Silvanus,Abbiss,63,"Lemur, ring-tailed",3/11/1983
Sampson,Lowers,64,Spotted deer,6/30/1991
Maddy,Huntriss,65,Slender loris,10/20/1975
Cosmo,Buttriss,66,Pacific gull,3/3/1988
Donavon,Balling,67,Galah,11/29/1989
Beverlie,Laws,68,"Eagle, tawny",12/20/1987
Evey,Elcocks,69,"Raccoon, crab-eating",6/27/1975
Ardene,Marchington,70,"Bettong, brush-tailed",10/21/1967
Tudor,Charity,71,Emerald-spotted wood dove,3/18/1972
Alexandrina,Ramberg,72,Common turkey,12/20/1975
Artair,Warrilow,73,"Badger, eurasian",11/9/1971
Skelly,Headey,74,Ornate rock dragon,10/21/1977
Sally,Howitt,75,"Wambenger, red-tailed",6/9/1980
Emogene,Kamall,76,"Mongoose, javan gold-spotted",3/12/1989
